benchmark,time,ext
hmmer,140.050655,randomized
hmmer,140.368651,randomized
hmmer,139.927798,randomized
hmmer,140.323747,randomized
hmmer,139.947415,randomized
lbm,48.790946,randomized
lbm,48.682777,randomized
lbm,48.704813,randomized
lbm,48.684666,randomized
lbm,48.697487,randomized
lbm,48.730945,randomized
lbm,48.756834,randomized
lbm,48.765381,randomized
lbm,48.723426,randomized
lbm,48.827928,randomized
lbm,48.650941,randomized
lbm,48.955245,randomized
lbm,48.71602,randomized
lbm,48.750032,randomized
lbm,48.78254,randomized
lbm,48.624415,randomized
lbm,48.57152,randomized
lbm,48.765985,randomized
lbm,48.719597,randomized
lbm,48.646655,randomized
lbm,48.775112,randomized
lbm,48.672267,randomized
lbm,48.68839,randomized
lbm,48.797985,randomized
lbm,48.736171,randomized
lbm,48.661181,randomized
lbm,48.721565,randomized
lbm,48.733398,randomized
lbm,48.778436,randomized
lbm,48.952116,randomized
libquantum,5.13947,randomized
libquantum,5.1731,randomized
libquantum,5.155973,randomized
libquantum,5.17501,randomized
libquantum,5.155405,randomized
libquantum,5.15221,randomized
libquantum,5.151981,randomized
libquantum,5.156187,randomized
libquantum,5.178688,randomized
libquantum,5.15117,randomized
libquantum,5.14614,randomized
libquantum,5.150375,randomized
libquantum,5.154726,randomized
libquantum,5.155783,randomized
libquantum,5.166201,randomized
libquantum,5.129885,randomized
libquantum,5.158342,randomized
libquantum,5.146176,randomized
libquantum,5.170362,randomized
libquantum,5.180514,randomized
libquantum,5.167855,randomized
libquantum,5.176163,randomized
libquantum,5.153318,randomized
libquantum,5.158568,randomized
libquantum,5.16699,randomized
libquantum,5.158929,randomized
libquantum,5.155048,randomized
libquantum,5.156382,randomized
libquantum,5.149235,randomized
libquantum,5.164039,randomized
mcf,32.357886,randomized
mcf,32.194375,randomized
mcf,32.533105,randomized
mcf,32.658355,randomized
mcf,32.17367,randomized
mcf,32.44809,randomized
mcf,32.353853,randomized
mcf,32.477565,randomized
mcf,32.29834,randomized
mcf,32.229094,randomized
mcf,32.669677,randomized
mcf,32.367211,randomized
mcf,32.035851,randomized
mcf,32.89397,randomized
mcf,32.765323,randomized
mcf,32.505379,randomized
mcf,32.181358,randomized
mcf,32.580852,randomized
mcf,32.355587,randomized
mcf,32.488903,randomized
mcf,32.433321,randomized
mcf,32.403068,randomized
mcf,32.107134,randomized
mcf,32.493742,randomized
mcf,32.619881,randomized
mcf,32.539666,randomized
mcf,32.838155,randomized
mcf,32.307308,randomized
mcf,32.420853,randomized
mcf,32.481682,randomized
milc,25.097766,randomized
milc,25.029077,randomized
milc,25.092846,randomized
milc,25.196811,randomized
milc,25.132166,randomized
milc,25.190066,randomized
milc,25.091444,randomized
milc,25.073727,randomized
milc,25.220753,randomized
milc,25.164001,randomized
milc,25.109229,randomized
milc,25.171753,randomized
milc,25.076398,randomized
milc,25.120206,randomized
milc,25.102987,randomized
milc,25.090461,randomized
milc,25.125697,randomized
milc,25.126472,randomized
milc,25.103268,randomized
milc,25.076263,randomized
milc,25.121227,randomized
milc,25.134567,randomized
milc,25.140373,randomized
milc,25.153778,randomized
milc,25.136208,randomized
milc,25.221982,randomized
milc,25.221576,randomized
milc,25.191024,randomized
milc,25.095217,randomized
milc,25.117427,randomized
namd,24.798932,randomized
namd,24.791694,randomized
namd,24.768857,randomized
namd,24.733253,randomized
namd,24.798036,randomized
namd,24.772028,randomized
namd,24.737271,randomized
namd,24.748489,randomized
namd,24.752085,randomized
namd,24.764538,randomized
namd,24.75493,randomized
namd,24.766059,randomized
namd,24.81006,randomized
namd,24.812715,randomized
namd,24.749134,randomized
namd,24.750068,randomized
namd,24.744202,randomized
namd,24.766098,randomized
namd,24.840537,randomized
namd,24.735459,randomized
namd,24.810219,randomized
namd,24.815275,randomized
namd,24.768673,randomized
namd,24.79095,randomized
